University,supervisor,title,Duration
"University of Maryland, College Park",['Dr. James V. Green'],Developing Innovative Ideas for New Companies: The First Step in Entrepreneurship,4 weeks long
"University of California, San Diego ","['Dr. Barbara Oakley', 'Dr. Terrence Sejnowski']",Learning How to Learn: Powerful mental tools to help you master tough subjects,Indeterminate Duration
University of Colorado System,"['Dr. Tim ""Dr. T"" Chamillard']",Beginning Game Programming with C#,12 weeks long
The University of Chicago,['Peggy Mason'],Understanding the Brain: The Neurobiology of Everyday Life,10 weeks long
The University of Melbourne,"['Prof. Greg Restall', 'Dr Jen Davoren']",Logic: Language and Information 1,5 weeks long
University of Washington,['Eric Zivot'],Introduction to Computational Finance and Financial Econometrics,10 weeks long
"University of California, Irvine","['Melissa Joell Loble, M.A., MBA']",Emerging Trends & Technologies in the Virtual K-12 Classroom,5 weeks long
Rice University,"['Joe Warren', 'Scott Rixner', 'John Greiner', 'Stephen Wong']",An Introduction to Interactive Programming in Python (Part 1),5 weeks long
The University of Edinburgh,"['Dr.  Dave Ward', 'Professor Duncan Pritchard', 'Dr. Michela Massimi', 'Dr. Suilin Lavelle', 'Dr. Matthew Chrisman', 'Dr. Allan Hazlett', 'Dr. Alasdair Richmond']",Introduction to Philosophy,Indeterminate Duration
University of Illinois at Urbana-Champaign,"['Dr. Stephen Marshak', 'Dr. Eileen Herrstrom']",Planet Earth...and You!,5 weeks long
"University of Maryland, College Park",['Michael Hicks'],Software Security ,8 weeks long
CentraleSupélec,['Luc de Brabandere'],On Strategy : What Managers Can Learn from Philosophy - PART 1,Indeterminate Duration
Universiteit Leiden,['Edwin Bakker'],Terrorism and Counterterrorism: Comparing Theory and Practice,Indeterminate Duration
University of Washington,['Dr. Randall J. LeVeque '],High Performance Scientific Computing,10 weeks long
Commonwealth Education Trust,"['Associate Professor Suseela Malakolunthu', 'Professor John MacBeath']",Foundations of Teaching for Learning 4: Curriculum,7 weeks long
University of Virginia,['Dr. Jeanne M. Liedtka'],Design Thinking for Business Innovation,4 weeks long
"University of Maryland, College Park",['Dr. Adam Porter'],Programming Mobile Applications for Android Handheld Systems: Part 1,4 weeks long
State University of New York,"['Dr. Cyndi Burnett', 'Dr. John F Cabra', 'Meghan E. Barrett Pereira']",Ignite Your Everyday Creativity,6 weeks long
University of Pennsylvania,['Erick Hyde'],Applying to U.S. Universities,Indeterminate Duration
Duke University,"[""Professor William M. O'Barr""]",Advertising and Society,7 weeks long
"University of Maryland, College Park",['Dr. Adam Porter'],Programming Mobile Applications for Android Handheld Systems: Part 2,4 weeks long
University of Arizona,['Chris Impey'],Astronomy: Exploring Time and Space,6 weeks long
University of Michigan,['Charles Severance'],"Internet History, Technology, and Security VC-dev",Indeterminate Duration
University of New Mexico,"['Doug E Thomas, Ph.D.']",International Business I - Negocios Internacionales I,6 weeks long
HEC Paris,"['Bénédicte Faivre-Tavignot', 'Frédéric Dalsace', 'Nathalie Lugagne', 'Stéphane Riot', 'Florian Hoos', 'Aymeric Marmorat', 'Lise Penillard', 'Ucka-Ludovic Ilolo', 'Matthieu Dardaillon', 'Joséphine Bouchez']",Devenir entrepreneur du changement,7 weeks long
Rice University,"['Scott Rixner', 'Joe Warren', 'Luay Nakhleh']",Principles of Computing (Part 1),5 weeks long
CentraleSupélec,['Luc de Brabandere'],On Strategy: What Managers can learn from Philosophy - Part 2,3 weeks long
University of Pennsylvania,"['Anita Allen', 'Shyam Balganesh', 'Stephen Morse', 'Edward B.  Rock', 'Theodore Ruger', 'Tess Wilkinson-Ryan', 'Tobias Barrington Wolff']",An Introduction to American Law,6 weeks long
Duke University,['Prof. Dorian A. Canelas'],Introduction to Chemistry:  Reactions and Ratios,8 weeks long
University of Manchester,"['Dr Tim Jacoby', 'Dr Kirsten Howarth', 'Dr Amy Hughes']",Global Health and Humanitarianism,6 weeks long
Johns Hopkins University,"['Roger D. Peng, PhD', 'Jeff Leek, PhD', 'Brian Caffo, PhD']",R Programming,4 weeks long
Johns Hopkins University,"['Jeff Leek, PhD', 'Roger D. Peng, PhD', 'Brian Caffo, PhD']",The Data Scientist’s Toolbox,4 weeks long
Stanford University,['Dr. Keith Devlin'],Introduction to Mathematical Thinking,10 weeks long
Duke University,"['Jennifer Carbrey', 'Emma Jakoi']",Introductory Human Physiology,Indeterminate Duration
University of Amsterdam,['Rutger de  Graaf'],Introduction to Communication Science,Indeterminate Duration
University of Michigan,['George Siedel'],Successful Negotiation: Essential Strategies and Skills,Indeterminate Duration
Duke University,['Dr. Mine Çetinkaya-Rundel'],Data Analysis and Statistical Inference ,10 weeks long
Johns Hopkins University,"['Roger D. Peng, PhD', 'Jeff Leek, PhD', 'Brian Caffo, PhD']",Exploratory Data Analysis,4 weeks long
The University of Edinburgh & Universidad ORT Uruguay,"['Areti Manataki', 'Inés Friss de Kereki']",Code Yourself! An Introduction to Programming,5 weeks long
Johns Hopkins University,"['Jeff Leek, PhD', 'Roger D. Peng, PhD', 'Brian Caffo, PhD']",Getting and Cleaning Data,4 weeks long
Johns Hopkins University,"['Jeff Leek, PhD', 'Roger D. Peng, PhD', 'Brian Caffo, PhD']",Practical Machine Learning,4 weeks long
Johns Hopkins University,"['Brian Caffo, PhD', 'Jeff Leek, PhD', 'Roger D. Peng, PhD']",Statistical Inference,4 weeks long
University of Pennsylvania,['Dr. Santosh S. Venkatesh'],Probability,8 weeks long
Johns Hopkins University,"['Brian Caffo, PhD', 'Roger D. Peng, PhD', 'Jeff Leek, PhD']",Regression Models,4 weeks long
"University of Maryland, College Park",['Michael R. Pratt'],New Venture Finance: Startup Funding for Entrepreneurs,4 weeks long
Rice University,"['Joe Warren', 'Scott Rixner', 'John Greiner', 'Stephen Wong']",An Introduction to Interactive Programming in Python (Part 2),4 weeks long
University of Pennsylvania,"['Connie B. Scanga, PhD']",Vital Signs: Understanding What the Body Is Telling Us,6 weeks long
University of New Mexico,['Greg Heileman'],Web Application Architectures,6 weeks long
École Polytechnique Fédérale de Lausanne,['Olivier L. Burdet'],"L'Art des Structures 2 : treillis, poutres, dalles et cadres",11 weeks long
École Polytechnique Fédérale de Lausanne,"['Pierre-Yves Gilliéron', 'Mr. Bertrand Merminod']",Éléments de Géomatique,8 weeks long
University of Wisconsin–Madison,"['Steven Ackerman', 'Margaret Mooney']",Changing Weather and Climate in the Great Lakes Region,4 weeks long
Ludwig-Maximilians-Universität München (LMU),['Christopher Balme'],Theatre and Globalization,6 weeks long
École Polytechnique Fédérale de Lausanne,"['Jamila Sam', 'Jean-Cédric Chappelier']",Introduction à la programmation orientée objet (en C++),7 weeks long
École Polytechnique Fédérale de Lausanne,['Jérôme Chenal'],Villes africaines: Introduction à la planification urbaine / African cities : an introduction to urban planning,12 weeks long
"University of California, Irvine",['Dr. Peter Navarro'],The Power of Microeconomics: Economic Principles in the Real World,Indeterminate Duration
"University of California, Irvine",['Dr. Peter Navarro'],The Power of Macroeconomics: Economic Principles in the Real World,Indeterminate Duration
University of Minnesota,"['Joseph A Konstan', 'Michael D Ekstrand']",Introduction to Recommender Systems,Indeterminate Duration
Johns Hopkins University,"['Dr. Megan Weil Latshaw, PhD', 'Beth A. Resnick, MPH']",Chemicals and Health,6 weeks long
UNSW Australia (The University of New South Wales),"['Dr Mike Ryan', 'Dr Ian  Faulconbridge ']",Introduction to Systems Engineering,9 weeks long
Icahn School of Medicine at Mount Sinai,"['Eric Sobie, PhD']",Dynamical Modeling Methods for Systems Biology,7 weeks long
Johns Hopkins University,"['Janet Holbrook, PhD, MPH', 'Lea T. Drye, PhD']",Design and Interpretation of Clinical Trials,6 weeks long
Johns Hopkins University,"['Roger D. Peng, PhD', 'Jeff Leek, PhD', 'Brian Caffo, PhD']",Reproducible Research,4 weeks long
"University of Maryland, College Park",['Jonathan  Katz'],Cryptography,6 weeks long
Università Bocconi,['Franz Wohlgezogen'],International Leadership and Organizational Behavior,6 weeks long
Johns Hopkins University,"['Brian Caffo, PhD', 'Jeff Leek, PhD', 'Roger D. Peng, PhD']",Developing Data Products,4 weeks long
Tel Aviv University,"['Professor Yoram  Y. Margalioth', 'Einat Solnik', 'Inbar Ben-Ari']",Economic Growth and Distributive Justice,6 weeks long
University of Copenhagen,"['Jon Stewart, PhD, Dr theol & phil']","Søren Kierkegaard - Subjectivity, Irony and the Crisis of Modernity",8 weeks long
Tel Aviv University,"['Professor Asher  Susser', 'Duygu Atlas']",The Emergence of the Modern Middle East - Part I,4 weeks long
University of Houston System,"['Dr. Paige K. Evans', 'Mariam Manuel']",Preparing for the AP Physics 1 Exam,8 weeks long
University of Pittsburgh,"['Elena A. Baylis', 'Elizabeth   Ferrell Bjerke, JD', 'Amesh A. Adalja, MD, FACP', 'Ryan Morhard']","Epidemics, Pandemics and Outbreaks",4 weeks long
Georgia Institute of Technology,"['Dr. Bonnie H. Ferri', 'Dr. Robert Allen Robinson, Jr.']",Introduction to Electronics,9 weeks long
University of Illinois at Urbana-Champaign,['Indranil Gupta'],Cloud Computing Concepts: Part 2,5 weeks long
"University of California, San Francisco","['Jeanette McCarthy, MPH, PhD ', 'Robert L. Nussbaum, MD']",Genomic and Precision Medicine,7 weeks long
"University of California, San Diego ","['Pavel  Pevzner', 'Phillip E. C. Compeau']",Bioinformatics Algorithms (Part 2) ,10 weeks long
Rice University,"['Scott Rixner', 'Joe Warren', 'Luay Nakhleh']",Principles of Computing (Part 2),4 weeks long
University of New Mexico,"['Doug E Thomas, Ph.D.']",International Business II - Negocios Internacionales II,6 weeks long
University of Illinois at Urbana-Champaign,['ChengXiang Zhai'],Text Retrieval and Search Engines,4 weeks long
Vanderbilt University,['Dr. Douglas C. Schmidt'],Programming Mobile Services for Android Handheld Systems: Concurrency,4 weeks long
Johns Hopkins University,"['Dr. Pamela R. Jeffries, PhD, RN, FAAN, ANEF', 'David W. Andrews, Ph.D.']",University Teaching 101,6 weeks long
The Pennsylvania State University,['Dr. Anthony C. Robinson'],Maps and the Geospatial Revolution,5 weeks long
Commonwealth Education Trust,"['Professor Stephen Dinham', 'Professor John MacBeath']",Foundations of Teaching for Learning 7: Being a Professional,7 weeks long
Peking University,['Xiaoyu Liu'],Chinese for Beginners,Indeterminate Duration
University of Washington,['Dr. Matt McGarrity'],Introduction to Public Speaking,Indeterminate Duration
University of Virginia,['Bruce Holsinger'],"Plagues, Witches, and War: The Worlds of Historical Fiction",Indeterminate Duration
University of Virginia,['Louis A. Bloomfield'],How Things Work,Indeterminate Duration
"University of Maryland, College Park",['Dr. Thomas J. Mierzwa'],Innovation for Entrepreneurs: From Idea to Marketplace,4 weeks long
The University of North Carolina at Chapel Hill,['Dr. William  Ferris'],"The American South: Its Stories, Music, and Art",Indeterminate Duration
University of Virginia,['Professor Gerry Warburg'],Public Policy Challenges of the 21st Century,Indeterminate Duration
Case Western Reserve University,['Professor Michael Goldberg'],Beyond Silicon Valley: Growing Entrepreneurship in Transitioning Economies,Indeterminate Duration
University of Virginia,['Edward D. Hess'],"Grow to Greatness: Smart Growth for Private Businesses, Part II",Indeterminate Duration
University of Virginia,['Edward D. Hess'],"Grow to Greatness: Smart Growth for Private Businesses, Part I",Indeterminate Duration
Stanford University,"['Maya Adam, MD']",Child Nutrition and Cooking,Indeterminate Duration
Curtis Institute of Music,['Jonathan Biss'],Exploring Beethoven’s Piano Sonatas,Indeterminate Duration
The Ohio State University,"['Jim Fowler, PhD']",Calculus One,Indeterminate Duration
Ludwig-Maximilians-Universität München (LMU),['Tobias Kretschmer'],Competitive Strategy,Indeterminate Duration
Columbia University,"['Martin Haugh', 'Garud Iyengar']",Financial Engineering and Risk Management Part I,Indeterminate Duration
University of Pennsylvania,"['Barbara E. Kahn', 'Peter Fader', 'David Bell']",Introduction to Marketing,4 weeks long
University of Michigan,['Charles Severance'],Programming for Everybody (Python),10 weeks long
University of Pennsylvania,['Brian J Bushee'],Introduction to Financial Accounting,4 weeks long
Northwestern University,"['Esther Barron', 'Steve Reed']",Law and the Entrepreneur ,6 weeks long
University of Western Australia,"['Winthrop Professor Philip Mead, BA, MA, PhD, DipEd, FAHA', 'Ms Claire Jones']",Australian literature: a rough guide,6 weeks long
University of Florida,"['George J. Hochmuth, Ph.D.']",Sustainable Agricultural Land Management,9 weeks long
Vanderbilt University,"['Barbara S. Stengel, Ph.D.', 'Marcy Singer-Gabella, Ph.D.']",Student Thinking at the Core,6 weeks long
The University of Melbourne,['Professor Pascal Van Hentenryck'],Discrete Optimization,9 weeks long
Case Western Reserve University,['Peter A. Carfagna'],Representing the Professional Athlete,9 weeks long
Commonwealth Education Trust,['Professor John MacBeath'],Foundations of Teaching for Learning 1: Introduction,4 weeks long
The Ohio State University,"['Dr. Jennifer Evans-Cowley', 'Thomas  W. Sanchez']",TechniCity,8 weeks long
Princeton University,['Unknown Author'],Fog Networks and the Internet of Things,6 weeks long
The Ohio State University,"['Stanley Lemeshow, PhD']",Applied Regression Analysis,6 weeks long
Princeton University,['Robert Sedgewick'],Analytic Combinatorics,6 weeks long
University of Florida,"['Chris J. Mortensen, Ph.D.']",The Horse Course: Introduction to Basic Care and Management,6 weeks long
Stanford University,['Tim Roughgarden'],"Algorithms: Design and Analysis, Part 2",6 weeks long
University of Zurich,['Sandra Schneeberger'],Sagas and Space - Thinking Space in Viking Age and Medieval Scandinavia,8 weeks long
Princeton University,"['Kevin Wayne', 'Robert Sedgewick']","Algorithms, Part II",6 weeks long
The World Bank,"['Mary McNeil', 'Björn-Sören Gigler', 'Tiago Peixoto', 'Benji Holzman']",Engaging Citizens:  A Game Changer for Development?,4 weeks long
State University of New York,"['Dr. Valeri Chukhlomin', 'Lorette Pellettiere Calix', 'Dr.  Anant Deshpande', 'Jeannine Mercer', 'Dr.  Bidhan Chandra']",iMOOC101: Mastering American eLearning,6 weeks long
University of Minnesota,['Matt McGue'],Introduction to Human Behavioral Genetics,8 weeks long
Technion - Israel Institute of Technology,['Prof. Hossam Haick'],Nanotechnology and Nanosensors,10 weeks long
Georgia Institute of Technology,"['Dr. Wayne Whiteman, PE']",Introduction to Engineering Mechanics,Indeterminate Duration
Columbia University,['Jeffrey Sachs'],Introduction to Sustainable Development ,Indeterminate Duration
University of Michigan,['Charles Severance'],"Internet History, Technology, and Security",Indeterminate Duration
University of Pennsylvania,['Michael R Roberts'],Introduction to Corporate Finance,4 weeks long
Northwestern University,"['John Lavine', 'Candy Lee']",Content Strategy for Professionals 1: Engaging Audiences for Your Organization,6 weeks long
University of Michigan,['Gautam Kaul'],Introduction to Finance,15 weeks long
University of Illinois at Urbana-Champaign,['Jiawei Han'],Pattern Discovery in Data Mining,4 weeks long
The University of Tokyo,['Michihiro Kandori'],Welcome to Game Theory,4 weeks long
The University of North Carolina at Chapel Hill,['Dr. Barbara L. Fredrickson'],Positive Psychology ,6 weeks long
Relay Graduate School of Education,['Maia Heyck-Merlin'],Get Organized: How to be a Together Teacher,Indeterminate Duration
University of Minnesota,"['Karen  Monsen, Ph.D., RN, FAAN']",Interprofessional Healthcare Informatics ,Indeterminate Duration
Duke University,['Dr. David Boyd'],The Challenges of Global Health,Indeterminate Duration
The Ohio State University,"['Jim Fowler, PhD']",Calculus Two: Sequences and Series,Indeterminate Duration
Ludwig-Maximilians-Universität München (LMU),['Tobias Kretschmer'],???????????,Indeterminate Duration
The University of North Carolina at Chapel Hill,"['Dr.  Karin Yeatts  ', 'Dr. Lorraine Alexander  ']",Epidemiology: The Basic Science of Public Health,Indeterminate Duration
The University of Edinburgh,['Charles Cockell'],Astrobiology and the Search for Extraterrestrial Life,Indeterminate Duration
University of Kentucky,"['Dr. Allison Soult', 'Dr. Kim Woodrum']",Advanced Chemistry,Indeterminate Duration
University of Toronto,['Nicholas James Provart'],Bioinformatic Methods I,Indeterminate Duration
Technical University of Denmark (DTU),"['Eva Bundgaard', 'Frederik C. Krebs', 'Mikkel Jørgensen', 'Morten Vesterager Madsen']",Organic Solar Cells - Theory and Practice,Indeterminate Duration
Ludwig-Maximilians-Universität München (LMU),['Tobias Kretschmer'],Advanced Competitive Strategy,Indeterminate Duration
University of Virginia,['Professor Peter S. Onuf'],Age of Jefferson,Indeterminate Duration
Columbia University,"['Martin Haugh', 'Garud Iyengar']",Financial Engineering and Risk Management Part II,Indeterminate Duration
The Museum of Modern Art,['Lisa Mazzola'],Art and Inquiry: Museum Teaching Strategies For Your Classroom ,Indeterminate Duration
University of Virginia,['R. Edward Freeman  '],New Models of Business in Society,Indeterminate Duration
Wesleyan University,['Richard Adelstein'],Property and Liability: An Introduction to Law and Economics,Indeterminate Duration
University of Virginia,['Professor Larry J. Sabato  '],The Kennedy Half Century,Indeterminate Duration
New Teacher Center,['Kevin Drinkard'],Common Core in Action: Math Classroom Challenges- Using Formative Assessment to Guide Instruction,6 weeks long
Commonwealth Education Trust,"['Professor Tony Townsend', 'Professor John MacBeath', 'Dr Fawaz Shareef']",Foundations of Teaching for Learning 8: Developing Relationships,6 weeks long
